Month,Month_Num,High Temperature,Low Temperature,Mean Temperature,Precipitation,Humidity,Dew Point,Wind,Pressure,Visibility,Location
January,1,25.0,16.0,20.0,22.0,72.0,14.0,19.0,1018.0,6.0,TW
February,2,26.0,17.0,21.0,17.0,72.0,15.0,19.0,1017.0,6.0,TW
March,3,27.0,19.0,23.0,16.0,71.0,18.0,19.0,1015.0,7.0,TW
April,4,29.0,22.0,26.0,27.0,73.0,20.0,19.0,1013.0,8.0,TW
May,5,31.0,25.0,28.0,84.0,75.0,23.0,20.0,1010.0,9.0,TW
June,6,32.0,26.0,29.0,130.0,78.0,24.0,22.0,1008.0,10.0,TW
July,7,32.0,26.0,29.0,167.0,77.0,25.0,23.0,1007.0,10.0,TW
August,8,32.0,26.0,29.0,206.0,80.0,25.0,22.0,1006.0,9.0,TW
September,9,32.0,25.0,29.0,120.0,78.0,24.0,20.0,1009.0,8.0,TW
October,10,30.0,24.0,27.0,49.0,75.0,22.0,17.0,1013.0,7.0,TW
November,11,29.0,21.0,25.0,34.0,73.0,19.0,17.0,1015.0,6.0,TW
December,12,26.0,17.0,22.0,26.0,72.0,16.0,18.0,1018.0,6.0,TW
January,1,2.0,-6.0,-2.0,76.0,75.0,-6.0,30.0,1020.0,12.0,OH
February,2,3.0,-5.0,-1.0,66.0,72.0,-6.0,28.0,1020.0,13.0,OH
March,3,8.0,-1.0,3.0,76.0,69.0,-2.0,28.0,1020.0,14.0,OH
April,4,15.0,4.0,9.0,95.0,64.0,3.0,26.0,1016.0,15.0,OH
May,5,21.0,10.0,16.0,96.0,66.0,9.0,23.0,1017.0,15.0,OH
June,6,26.0,16.0,21.0,99.0,68.0,15.0,21.0,1015.0,15.0,OH
July,7,28.0,18.0,23.0,99.0,68.0,17.0,19.0,1016.0,15.0,OH
August,8,27.0,17.0,22.0,93.0,70.0,17.0,18.0,1017.0,15.0,OH
September,9,24.0,13.0,19.0,100.0,71.0,13.0,20.0,1018.0,15.0,OH
October,10,17.0,7.0,12.0,94.0,70.0,7.0,24.0,1019.0,15.0,OH
November,11,10.0,2.0,6.0,85.0,70.0,1.0,28.0,1020.0,15.0,OH
December,12,4.0,-3.0,1.0,77.0,75.0,-3.0,29.0,1020.0,13.0,OH
